rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
27,27,17,2.0,0.5,2402,0.983549490405362,114,0.00030219884758904295,0.004877495265935588,0.6521521671611422,True,87,47,40,0.5402298850574713,198733.7454835481,67311.16356739262,0.03365558178369631,-103213.89233497786,-0.05160694616748893,1.2785656743734932,773.6915352573865,34395,0.16913771483366527,131422.5819161555,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,28,35
28,28,26,1.5,0.5,2393,0.8574975187368992,114,0.0002551323041577448,0.004723162085981928,0.6081917386419075,True,84,43,41,0.5119047619047619,183564.72237221134,56428.43573187552,0.028214217865937738,-92780.6679154837,-0.04639033395774185,1.1922617404649034,671.7670920461371,63105,0.31031939219591353,127136.2866403358,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,32,37
29,29,52,2.5,0.5,2367,0.8235143918317883,114,0.00022652317335524334,0.0043665829438004405,0.5927418389095506,True,20,13,7,0.65,78957.81772848757,50099.90547821661,0.025049952739108355,-84976.57943375735,-0.04226115164266454,1.6468490738844226,2504.9952739108307,36075,0.17739912960094417,28857.912250270947,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,34,38
30,30,17,3.0,1.0,2402,0.8186914883816943,114,0.00015921375354812755,0.003087170221022847,0.663308325666335,True,27,17,10,0.6296296296296297,75756.8773401459,35534.02245777151,0.017767011228885736,-53800.91131227929,-0.026785448849956244,1.4182380824252971,1316.0749058433894,21000,0.1032676845909862,40222.8548823744,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,42,34
31,31,26,2.0,0.0,2393,0.7537877530980589,114,0.0002038414283338303,0.004292829572093236,0.5082144018278213,True,73,38,35,0.5205479452054794,157974.76105169335,44886.37950539723,0.022443189752698642,-88321.7385102841,-0.04416086925514205,1.2181028845537327,614.8819110328387,30435,0.14966438002507929,113088.38154629616,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,39,40
32,32,52,2.5,1.0,2367,0.7427329154265572,114,0.00021570111170127095,0.004610202299333737,0.6373966899146576,True,20,12,8,0.6,76183.54519125939,47319.509328337605,0.02365975466416881,-74637.71770194569,-0.03711935602824775,1.5412558953150177,2365.9754664168804,37830,0.18602935752747657,28864.035862921777,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,36,36
33,33,26,2.0,1.0,2393,0.7324607538147491,114,0.00022638476484572822,0.004906401758260925,0.4406522726019376,True,61,31,30,0.5081967213114754,141553.88374776824,49498.929838360506,0.02474946491918026,-112331.04403633764,-0.05616552201816882,1.2164341005065438,811.4578662026313,64020,0.3148189127388065,92054.95390940772,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,35,43
34,34,9,2.5,0.5,2410,0.6511329650318961,114,8.760550173333554e-05,0.0021358068184069573,0.4735336115762382,True,31,17,14,0.5483870967741935,65320.055256044085,19552.723651875494,0.009776361825937755,-41291.099879459245,-0.020645549939729623,1.2083046938825608,630.7330210282418,4740,0.0233089916648226,45767.33160416858,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,47,41
35,35,17,2.0,0.0,2402,0.45918736114758085,114,0.00012647038310528177,0.004372191530821751,0.4380916838667345,True,93,52,41,0.5591397849462365,167510.5639475764,26852.186601043803,0.01342609330052184,-61293.53190190205,-0.030646765950951026,1.095387527007365,288.7331892585355,26490,0.13026480784834402,140658.37734653262,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,43,44
36,36,17,2.0,1.0,2402,0.37430300494994867,114,0.0001063527698027056,0.004510511159457325,0.2913088268878883,True,69,33,36,0.4782608695652174,125295.49620242623,22071.717587395506,0.011035858793697785,-75767.41777169006,-0.03788370888584503,1.1050173397825391,319.8799650347175,46305,0.22770524452312457,103223.77861503072,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,44,45
37,37,9,2.0,1.0,2410,0.36102183164108786,114,0.00010367065632691208,0.004558507284432674,0.2812581018225526,True,85,40,45,0.47058823529411764,150590.59952632664,21402.143374908715,0.010701071687454359,-76302.7619136211,-0.03804715888399804,1.0829622297758081,251.7899220577496,34485,0.16958029062476948,129188.45615141794,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,45,46
38,38,26,1.5,0.0,2393,0.32801040006058285,114,0.00010064821826158956,0.00487100693220823,0.21925993466162438,True,96,45,51,0.46875,166982.15862301463,20368.25947395691,0.010184129736978444,-92895.49185258336,-0.04644774592629168,1.0677745447977454,212.1693695203845,46155,0.22696761820461753,146613.89914905775,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,46,48
39,39,9,2.5,0.0,2410,0.325911763302028,114,4.36363580514354e-05,0.002125439419951444,0.2324974375246022,True,31,17,14,0.5483870967741935,55217.577572808805,9461.147257795,0.004730573628897546,-40693.554985069204,-0.020346777492534603,1.09583486985337,305.1982986385484,4125,0.020284723758943718,45756.43031501381,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,48,47
40,40,104,2.5,1.0,2315,2.80581532976973,114,0.0006263985150675088,0.003543985254278555,2.996067440998522,False,14,12,2,0.8571428571428571,165945.0656080791,146476.43818776528,0.07323821909388271,-51931.904427442234,-0.024444783215385183,5.11784755118253,10462.60272769752,32055,0.15763074426495538,19468.627420313846,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,11,9
41,41,104,2.5,0.0,2315,2.435879995332503,114,0.0005372616163391565,0.0035013070312274685,2.751210381810737,False,15,12,3,0.8,145427.76115912184,124824.68376875676,0.062412341884378345,-47797.439462249866,-0.022685412317796295,6.114986863308039,8321.645584583785,22650,0.11138157409456369,20603.077390365066,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,15,11
42,42,104,2.5,0.5,2315,2.009066261629343,114,0.00048757782103614966,0.0038525647975578992,1.817731926924465,False,15,11,4,0.7333333333333333,133082.03922523913,112519.34308000945,0.05625967154000467,-65209.417043488706,-0.03095047773914273,3.0130887473046046,7501.289538667296,29715,0.1461237736962455,20562.696145229675,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,18,20
43,43,104,3.0,1.0,2315,1.871586086705545,114,0.00030537920177711194,0.0025901798347812807,1.6638502465377272,False,8,6,2,0.75,79921.1549770201,70059.63354170244,0.03502981677085126,-43389.344294997165,-0.02105346730797685,4.749036505100781,8757.454192712805,17520,0.08615475400162277,9861.521435317649,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,27,21
44,44,52,3.0,0.0,2367,1.6386835105091684,114,0.0003184118820261343,0.0030845687367688024,1.16283874081915,False,14,10,4,0.7142857142857143,92497.46822197187,72809.23454257462,0.03640461727128737,-62696.64739470137,-0.0313066773520484,2.3551784154489974,5200.659610183901,18240,0.0896953603304566,19688.23367939726,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,26,29
45,45,104,3.0,0.0,2315,1.618866931562836,114,0.0002646957151571976,0.002595589625396529,1.5168880880430033,False,8,7,1,0.875,70389.53462990897,60481.77472686113,0.03024088736343058,-40913.68589588953,-0.01993613609455232,16.704864275041917,7560.221840857641,11070,0.05443682230581987,9907.759903047856,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,30,25
46,46,104,3.0,0.5,2315,0.9958165182106686,114,0.0001715178778657627,0.002734200378899658,0.6854644753409523,False,8,6,2,0.75,48529.96190508126,38627.988190648306,0.01931399409532419,-58467.25044365204,-0.028176506281696573,2.3990408026588748,4828.498523831038,15090,0.07420520764180866,9901.973714432954,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,41,33
47,47,52,3.0,1.0,2367,0.7554402395682932,114,0.00020799067678875565,0.004370629815410947,0.516616971998552,False,13,8,5,0.6153846153846154,64078.234940283495,45768.87713700715,0.022884438568503595,-88711.29792908602,-0.044296722347262986,1.6097868659163725,3520.6828566928575,24645,0.12119200413070738,18309.357803276354,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,38,39
