ma_window,entry_z,exit_z,trade_count,contracts_median,net_0.0,sharpe_0.0,dd_0.0,net_0.5,sharpe_0.5,dd_0.5,net_1.0,sharpe_1.0,dd_1.0,net_1.5,sharpe_1.5,dd_1.5,net_2.0,sharpe_2.0,dd_2.0,survives_1t
3900,1.0,0.0,41,3.0,359113.8069856628,9.47859241187758,-0.02061329739063385,289613.8069856628,7.987031525232341,-0.021831385822868213,220113.80698566278,6.313681869563193,-0.024196891260898808,150613.80698566278,4.469130165215725,-0.02765439348365699,81113.80698566278,2.481256085316472,-0.034987493728252925,True
3900,1.0,0.25,32,3.0,365740.67474404676,9.678419208735631,-0.020401459704026098,311740.67474404676,8.609954539920391,-0.02083552671610934,257740.67474404676,7.401040429405707,-0.02128846591384904,203740.67474404676,6.052361771461132,-0.021812099332467794,149740.67474404676,4.574928008169803,-0.02373006147795547,True
3900,1.0,0.5,27,3.0,323867.10041298345,8.614215638961337,-0.020398328684073427,279367.10041298345,7.704070940042878,-0.02078263671918555,234867.10041298345,6.689634831485614,-0.02118170367440096,190367.10041298345,5.574238010280442,-0.022264467291261855,145867.10041298345,4.368097695871748,-0.023604563692595545,True
3900,1.25,0.0,31,3.0,357417.8763548904,9.587022767048571,-0.019689872719921987,304917.8763548904,8.51128350938475,-0.020067418627070836,252417.8763548904,7.304848504386385,-0.020459726184991936,199917.8763548904,5.9699376141209015,-0.020867678403770205,147417.8763548904,4.517938464324262,-0.02129223015265355,True
3900,1.25,0.25,26,3.0,379553.8616415672,10.565954707087032,-0.019272735223419515,335553.8616415672,9.698260648650223,-0.01959605551238082,291553.8616415672,8.717441991852843,-0.01993040896617762,247553.8616415672,7.622826185081309,-0.020276370141008193,203553.8616415672,6.4203695026638465,-0.020634554191435294,True
3900,1.25,0.5,24,3.0,349730.32269736007,9.175213674066232,-0.019204290632539717,309730.32269736007,8.362957119806172,-0.019522443550016953,269730.32269736007,7.469228338125343,-0.019851315575913957,229730.32269736007,6.497771890708244,-0.020191457709542785,189730.32269736007,5.456612966635342,-0.020543459372934062,True
3900,1.5,0.0,22,3.0,323506.2596386885,8.957951443280447,-0.01989918434049879,285506.2596386885,8.226969362716234,-0.020171878587816425,247506.25963868853,7.407613854601272,-0.020452150568306633,209506.25963868853,6.496027819354948,-0.02074032059188593,171506.25963868853,5.4915994022089025,-0.02103672727908484,True
3900,1.5,0.25,19,3.0,321241.8384047337,8.803736800306929,-0.01979733858808448,288241.8384047337,8.198064550805093,-0.02004057535342553,255241.8384047337,7.516724339525738,-0.02028986344493332,222241.8384047337,6.756799900677749,-0.020545431527403315,189241.8384047337,5.918275835072895,-0.020807519933507927,True
3900,1.5,0.5,17,3.0,287541.4500326719,7.465458779089023,-0.01972005438875434,258541.4500326719,6.896589485695377,-0.019959246579826128,229541.4500326719,6.276204866046018,-0.020204312525733733,200541.4500326719,5.605304458006158,-0.020455471275492416,171541.4500326719,4.88673576815802,-0.020712952907166265,True
3900,1.75,0.0,14,3.0,247041.57210833952,7.797511645698122,-0.020602308318943427,222541.57210833952,7.2492036374211395,-0.02078441829008667,198041.57210833952,6.651442894295835,-0.020969776421803567,173541.57210833952,6.002131153087861,-0.021158470398624996,149041.57210833952,5.300103772468976,-0.021350591089813485,True
3900,1.75,0.25,12,3.0,224143.7631989792,7.597582455712782,-0.020662117808189284,203143.7631989792,6.983694100095775,-0.020830901503752355,182143.7631989792,6.339249471600835,-0.021002465414162983,161143.7631989792,5.6668508390526,-0.021176878803674516,140143.7631989792,4.969854550954244,-0.021354213256606178,True
3900,1.75,0.5,11,3.0,192136.57418310037,5.851370516292498,-0.020567459517165668,173136.57418310037,5.317993293539116,-0.020733218660733483,154136.57418310037,4.767736081686197,-0.02090167131446694,135136.57418310037,4.203102461083108,-0.021072883668606438,116136.57418310037,3.6269215669327663,-0.021246924100046697,True
3900,2.0,0.0,9,3.0,183347.20040864218,6.155100202582925,-0.020998381350922957,167347.20040864218,5.7870220271511785,-0.021123323070905184,151347.20040864218,5.387996869240058,-0.021249760513074853,135347.20040864218,4.95646877403214,-0.021377720697908848,119347.20040864218,4.491253280831486,-0.02150723130066634,True
3900,2.0,0.25,9,3.0,194737.34073986392,6.776301464170016,-0.02094324984210212,178737.34073986392,6.3229731929216575,-0.021067534409728722,162737.34073986392,5.843611942147882,-0.021193302879513428,146737.34073986392,5.33937431278755,-0.021320581986752237,130737.34073986392,4.811991714071168,-0.021449399112870606,True
3900,2.0,0.5,8,3.0,160962.3796360176,5.030121549279714,-0.020860366403741552,146962.3796360176,4.635916465344975,-0.02098258091670616,132962.3796360176,4.228313093868926,-0.021106235903948112,118962.3796360176,3.8087851244813313,-0.021231356983540315,104962.3796360176,3.379039666476435,-0.021357970384650166,True
3900,2.5,0.0,7,3.0,153261.10203037178,6.602820451662444,-0.021027520109053226,141261.10203037178,6.358513500896874,-0.021133057924426116,129261.10203037178,6.0824515157794306,-0.0212396604792981,117261.10203037178,5.770147282057111,-0.021347343968117865,105261.10203037178,5.416724690010564,-0.021456124915426217,True
3900,2.5,0.25,7,3.0,160857.74362198496,7.4178379808242445,-0.021009162570197668,148857.74362198496,7.102441686910004,-0.021114515730195307,136857.74362198496,6.749735504213735,-0.02122093082948867,124857.74362198496,6.356715178146462,-0.02132842400562073,112857.74362198496,5.920873465772365,-0.021437011724773653,True
3900,2.5,0.5,7,3.0,151875.39386271546,5.109748503803766,-0.020947322906659974,139875.39386271546,4.775287515487369,-0.021051134115328527,127875.39386271546,4.4244745912583365,-0.021155979388429343,115875.39386271546,4.058043318381333,-0.021261874253787234,103875.39386271546,3.6770248200211286,-0.021368834551685013,True
