rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
35,35,780,2.0,0.0,10031,6.348065883794695,32,0.0016842847404331188,0.004211864188350123,2.5284969141992444,True,18,16,2,0.8888888888888888,209758.1129999159,110079.9712073809,0.05503998560369038,-45263.77429921017,-0.02176786742139297,10.965839707116492,6115.553955965606,23246,0.44507840471768556,99678.141792535,77932.44273042183,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,56,59
36,36,2500,1.5,0.5,10031,6.3369835044556195,32,0.0021784307997145223,0.0054570943481444065,3.3471858516899675,True,11,10,1,0.9090909090909091,202760.33329386095,143248.25734239572,0.07162412867119793,-45263.77429921017,-0.02139831244656925,31.94374638525004,13022.568849308702,34106,0.653008864806908,59512.075951465245,46618.804819492594,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,31,32
37,37,2500,1.5,0.25,10031,6.248234862784661,32,0.002110903001162144,0.005363042048357843,3.2310695126134354,True,11,10,1,0.9090909090909091,198236.41302587138,138665.45514184274,0.06933272757092142,-45263.77429920994,-0.02145813554931598,30.953793197277072,12605.950467440249,33725,0.6457140668977005,59570.957884028685,46671.55577198904,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,34,39
38,38,1560,1.0,0.0,10031,6.216825093769036,32,0.002448093835009192,0.006251146566831829,3.5860024414868006,True,29,27,2,0.9310344827586207,318961.4416663193,161473.5104050595,0.08073675520252972,-47834.28837250336,-0.02251441724313363,7.48443892063947,5568.052082933086,43805,0.838710295046813,157487.93126125977,123354.09960140349,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,21,27
39,39,2500,0.75,-0.25,10031,6.14851407812039,32,0.002290213987492181,0.005912976614874972,3.5125411075897772,True,38,31,7,0.8157894736842105,357552.2140992887,150740.5912908154,0.07537029564540763,-45263.77429920994,-0.021457484293222962,12.795556822048543,3966.857665547774,35838,0.6861705182944341,206811.6228084733,161851.43759309704,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,26,29
40,40,3900,0.75,0.0,10031,6.136098100031581,32,0.0023418248592879526,0.006058461997254766,3.4500581757884063,True,26,24,2,0.9230769230769231,294218.2868158946,154229.45143144534,0.07711472571572266,-47984.94747819705,-0.02235171750345932,18.43661438636879,5931.901978132513,41237,0.789542208351682,139988.83538444934,110157.74965095813,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,24,31
41,41,780,0.75,0.5,10031,6.01188708975565,32,0.00259302835109982,0.006846943121643535,4.0266518491526115,True,35,30,5,0.8571428571428571,362773.43916565226,171233.18361118244,0.08561659180559125,-45263.77429920994,-0.021262476869861206,10.466999536065789,4892.376674605212,44492,0.851863907024833,191540.2555544697,149714.66667957703,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,17,21
42,42,390,1.5,0.25,10031,5.982813077753013,32,0.0016994353805696895,0.00450919993098012,3.0221457166878385,True,39,27,12,0.6923076923076923,328054.1911827473,111014.70687087852,0.05550735343543929,-37411.054806246655,-0.018366868655252444,3.8845590257640787,2846.5309454071416,27857,0.5333626912251814,217039.48431186884,169390.116099471,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,55,45
43,43,390,2.5,0.0,10031,5.9542526138726934,32,0.001497912543740456,0.003993553179683224,3.2500015954289103,True,24,19,5,0.7916666666666666,229457.45264051578,97609.29811901151,0.04880464905950567,-31288.180757138878,-0.015016807723463534,7.090697767718183,4067.0540882921464,8372,0.16029408949051294,131848.15452150427,102921.14343013565,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,65,37
44,44,1560,0.75,0.0,10031,5.906015191351168,32,0.00239246561070822,0.006430598792374677,3.0920862674488743,True,32,28,4,0.875,331300.55997205875,157561.80902488978,0.07878090451244497,-54254.102756234584,-0.025478236277490136,5.998501168064951,4923.806532027806,45205,0.8655153267341898,173738.750947169,136074.49158157455,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,23,44
