window,entry_z,exit_z,sharpe,trades,net,maxdd_pct,ret_pct,exposure,med_ticks,under1,win_rate,hold_med_h,weekend,cross_share,neighbour_sharpe
1560,1.0,0.0,6.35550316907858,29,161941.31377128238,-0.022490854090347633,0.08097065688564116,0.838710295046813,1.3151729910177115,0.3448275862068966,0.8620689655172413,17.916666666666668,6,0.7832573884515651,6.546012300494308
1560,1.0,0.25,7.353777350247865,25,184254.40173263362,-0.02322990034176581,0.09212720086631668,0.8716038982174654,2.269896198728913,0.2,0.88,22.95,6,0.7828743235749429,7.322708635979919
1560,1.0,0.5,7.67004835064835,24,200789.4960773636,-0.023099472788161015,0.10039474803868169,0.9025062704627698,2.660796946614987,0.16666666666666666,0.875,23.458333333333332,5,0.7831472306388397,7.765689416217408
1560,1.5,-0.25,6.613639589918897,17,127527.79608706557,-0.02147427487966023,0.06376389804353286,0.5207643263321143,1.587861839284051,0.23529411764705882,0.9411764705882353,21.65,3,0.7824967110318003,6.204140006822724
1560,1.5,0.0,6.849486666453908,17,151162.3036767145,-0.021390005497422284,0.07558115183835733,0.6480882268471538,2.1113254298862434,0.23529411764705882,0.9411764705882353,23.416666666666668,4,0.7824993965197399,6.524142157848771
1560,1.5,0.25,7.86740530245583,16,176457.49502599932,-0.021300505539356612,0.0882287475129997,0.6798713358479006,3.1421437729727995,0.125,0.9375,24.9,4,0.7826606950617065,6.951417364576275
1560,1.5,0.5,8.336378380099767,16,189718.9064803377,-0.02118812950783641,0.09485945324016874,0.6843707518811388,3.555970723025238,0.125,0.9375,25.083333333333332,4,0.7826923775853095,6.940935526133569
1560,2.0,-0.25,5.516059252927692,7,90229.23470106062,-0.021538576486575294,0.045114617350530344,0.33366520515422465,3.861171614331191,0.14285714285714285,0.8571428571428571,26.233333333333334,2,0.7833014990702437,5.853025974880618
1560,2.0,0.0,5.539539109092576,7,91656.10341918822,-0.021523954322072658,0.045828051709594086,0.43885580807597313,3.905444155839245,0.14285714285714285,0.8571428571428571,48.016666666666666,3,0.7829347173221058,5.782859043827796
1560,2.0,0.25,6.074585326852349,7,104606.00911735179,-0.021466320326223146,0.052303004558675925,0.44021520611154724,4.383137690700521,0.14285714285714285,0.8571428571428571,48.3,3,0.7828648371342212,5.902447959774011
1560,2.0,0.5,6.097785300124372,7,103322.39163662554,-0.02145106749396212,0.0516611958183127,0.44098106415975796,4.175537837940983,0.14285714285714285,0.8571428571428571,48.86666666666667,3,0.7829230206700493,5.804965849633713
1560,2.5,-0.25,3.8871440010061993,3,49391.56028437869,-0.022006661685972907,0.02469578014218935,0.15860920178444926,4.316465688966166,0.0,1.0,48.016666666666666,1,0.7777510711922885,4.598443402523759
1560,2.5,0.0,3.8871440010061993,3,49391.56028437869,-0.022006661685972907,0.02469578014218935,0.15860920178444926,4.316465688966166,0.0,1.0,48.016666666666666,1,0.7777510711922885,4.551432397616301
1560,2.5,0.25,4.090591477487455,3,56464.56689093288,-0.022009165860938328,0.028232283445466425,0.1596239636983285,4.528575051955076,0.0,1.0,48.3,1,0.7778332195472835,4.446915066854636
1560,2.5,0.5,4.028969759096789,3,53682.454096800415,-0.022009165860938328,0.026841227048400206,0.16027494303930767,4.2579922902179845,0.0,1.0,48.86666666666667,1,0.7780458055070817,4.421613224118646
2500,0.75,-0.25,6.440891786551891,38,154800.84395624293,-0.021384618609013476,0.07740042197812139,0.6861705182944341,0.8604744906756738,0.5526315789473685,0.8157894736842105,1.075,7,0.7826006540623202,6.350291818260134
2500,0.75,0.0,7.348723460470256,29,179322.34699094036,-0.02121678587605168,0.08966117349547008,0.721304256256103,1.4637912893757408,0.41379310344827586,0.896551724137931,3.55,5,0.7845974195399386,6.944516880264638
2500,0.75,0.25,7.839010823547425,25,187475.86244023248,-0.021026003043162943,0.09373793122011632,0.7774225047387466,1.8889687028658533,0.24,0.88,20.866666666666667,5,0.7850175081331067,7.456227960248819
2500,0.75,0.5,8.878281153846052,23,214508.35970320314,-0.0208710569591088,0.1072541798516016,0.7945777250186677,2.2741179321829876,0.08695652173913043,0.9565217391304348,23.033333333333335,6,0.7847998693815932,7.176363971539462
2500,1.0,-0.25,7.42585125920296,24,170588.574955358,-0.02126656262376148,0.08529428747767909,0.6664879664554175,1.837403700969267,0.25,0.8333333333333334,19.783333333333335,5,0.7821952655269154,6.584105681267607
