rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
14,14,2500,2.0,0.25,25319,3.227756625483928,32,0.0009126624529480695,0.0044885872665534465,1.0493661151267575,True,11,8,3,0.7272727272727273,93089.39954349484,58600.67876457318,0.02930033938228665,-57131.5314637369,-0.02792194159875968,3.403325572961594,5327.334433143016,17176,0.32057335896526623,34488.720778921655,15829.565090108246,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,18,37
15,15,2500,1.0,0.0,25319,3.06090705552677,32,0.0010041557939462833,0.005207763176375054,1.5288892988612848,True,27,23,4,0.8518518518518519,149937.6422411406,64407.88233896305,0.03220394116948149,-42738.9859412564,-0.021063618663213192,3.015107216141362,2385.477123665298,25691,0.47949756434423935,85529.75990217755,39268.277869437494,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,12,15
16,16,3900,1.0,0.0,25319,3.0489557711718827,32,0.0009307537705033932,0.0048460060297454005,1.3767786035926122,True,18,15,3,0.8333333333333334,117444.36208937436,59685.10194552064,0.029842550972760305,-44165.604574138066,-0.021675635352618173,3.1148366464500485,3315.838996973369,24482,0.4569327535041714,57759.260143853724,26483.511082557416,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,17,24
17,17,3900,2.0,-0.25,25319,3.0415941736432903,32,0.0007507887517244557,0.003918472111934981,1.2208953543641197,True,8,6,2,0.75,73191.21413948215,48125.46968698232,0.024062734843491113,-39965.46524791024,-0.019709088708936676,4.788235976355515,6015.68371087279,14322,0.2673062207208048,25065.74445249984,11498.706822021813,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,34,27
18,18,2500,1.0,0.25,25319,2.9630471588482243,32,0.0009899837023098837,0.005303831909318155,1.1828912479587514,True,24,21,3,0.875,139435.61274713438,63440.62094760119,0.03172031047380064,-54559.99996092939,-0.026815914420314283,2.428178778617774,2643.35920615005,27555,0.5142873140596129,75994.99179953319,34874.97913039646,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,13,29
19,19,3900,1.5,0.5,25319,2.9197752905542678,32,0.0008487890099791798,0.004614775616263251,1.0039708155323708,True,9,7,2,0.7777777777777778,82296.48487640976,54364.2062804925,0.02718210314024624,-54648.87894096598,-0.027074594918212354,4.156180936702975,6040.467364499167,21496,0.4012019634558316,27932.27859591726,12782.828956109586,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,25,40
20,20,3900,0.75,0.25,25319,2.8432167341894297,32,0.0009584175579272318,0.005351124618692583,1.092422463176914,True,20,17,3,0.85,125691.7471839196,61343.70127634229,0.030671850638171193,-57675.05503664282,-0.0280769131650527,2.837321521501769,3067.1850638171145,26887,0.5018197428096829,64348.04590757732,29550.306502168027,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,15,31
21,21,1560,2.0,0.0,25319,2.8299841697435455,32,0.0006839080423838538,0.0038363124835754945,1.4329731812742295,True,16,14,2,0.875,94008.10050413833,43771.012382906934,0.021885506191453432,-30909.437231956515,-0.01527279538615816,3.4589723708747626,2735.6882739316834,16930,0.31598200787622016,50237.0881212314,23063.347833888212,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,36,21
22,22,1560,2.5,-0.25,25319,2.819925020418893,32,0.0005489787439217943,0.0030904252154802044,1.43717127755546,True,9,8,1,0.8888888888888888,63287.338901894305,35134.111421053225,0.01756705571052665,-24725.087425867794,-0.012223355688270595,4.495698515080365,3903.7901578948026,9300,0.1735754680005226,28153.227480841073,12913.344022338655,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,47,20
23,23,3900,1.0,0.25,25319,2.7902312890167695,32,0.0009006415780195183,0.005124034653093093,1.060883383282327,True,15,12,3,0.8,105303.28976218095,57615.398882753594,0.02880769944137684,-55458.17164254282,-0.02715444496099757,3.1097593468752733,3841.026592183573,25172,0.46981093338808116,47687.89087942735,21876.28495136865,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,20,34
24,24,1560,2.0,-0.25,25319,2.7551943074751035,32,0.0006647734826091545,0.003830202410920241,1.414888940637593,True,17,15,2,0.8823529411764706,95931.23366570199,42522.16176071099,0.021261080880355554,-30482.42917136103,-0.015026678257004855,3.3304133294869196,2501.3036329829993,14079,0.2627708617182105,53409.071904991004,24524.007401010524,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,37,22
25,25,1560,2.0,0.5,25319,2.684831393719605,32,0.0008006073306518514,0.004733722720186451,1.300007386821007,True,15,12,3,0.8,98214.92300846228,51166.79420931661,0.025583397104658304,-39965.46524791024,-0.019679424412517424,3.10872109634928,3411.119613954441,20189,0.37680807779167214,47048.12879914567,21592.475891119513,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,29,25
