basket_id,direction,tranches_filled,entry_first_time,entry_last_time,ref_spread,std_ref,vwa_entry_spread,qff_contracts,gross_notional_twd,exit_time,exit_reason,exit_spread,mae_spread,mae_k,gross_pnl_twd,total_fee_twd,net_pnl_twd,holding_minutes
24,long_tsm_short_qff,1,2026-06-11 21:33:00+08:00,2026-06-11 21:33:00+08:00,-1.2728336136682523,1.0691840733501918,-1.2728336136682523,-1,255000.0,2026-06-16 21:31:00+08:00,zscore_exit,-0.2021956984130257,1.4816013005181048,1.3857307992585792,3035.4678863810077,1457.0297002315028,1578.4381861495049,7198
25,short_tsm_long_qff,1,2026-06-16 22:24:00+08:00,2026-06-16 22:24:00+08:00,0.8135165695982416,0.9340887895629257,0.8135165695982416,1,276000.0,2026-06-17 21:31:00+08:00,zscore_exit,-1.9538968910962968,0.193977423053167,0.2076648657178853,7806.473582117658,1433.5686318983091,6372.904950219349,1387
26,long_tsm_short_qff,2,2026-06-17 21:33:00+08:00,2026-06-18 21:31:00+08:00,-1.9313790292088424,0.9129146975307241,-2.846632436267988,-2,592000.0,2026-06-22 22:56:00+08:00,zscore_exit,-1.0883406525463717,2.1487237716745016,2.3536961092711364,12513.019290860888,2934.371315718261,9578.647975142627,7283
27,long_tsm_short_qff,1,2026-06-23 01:59:00+08:00,2026-06-23 01:59:00+08:00,-3.0173341006672314,1.099562271447431,-3.0173341006672314,-1,359000.0,2026-06-23 21:31:00+08:00,zscore_exit,-1.0673106293774337,0.49716806988883855,0.4521508993159445,6636.823239782774,1469.2897557767233,5167.533484006051,1172
28,long_tsm_short_qff,1,2026-06-24 00:41:00+08:00,2026-06-24 00:41:00+08:00,-3.003014201662567,1.1322485485977063,-3.003014201662567,-1,346000.0,2026-06-24 21:31:00+08:00,zscore_exit,-1.397301362228967,0.34505848757315505,0.3047550716673571,5682.268611174724,1467.9085773332913,4214.360033841433,1250
29,short_tsm_long_qff,1,2026-06-25 01:33:00+08:00,2026-06-25 01:33:00+08:00,-0.9664880342543384,1.1405169893046878,-0.9664880342543384,1,355000.0,2026-06-25 02:11:00+08:00,zscore_exit,-2.5747645376994166,0.0,0.0,5759.918803014912,1447.3011124904053,4312.6176905245065,38
30,short_tsm_long_qff,1,2026-06-25 21:58:00+08:00,2026-06-25 21:58:00+08:00,-0.738400656657728,1.1381189656828328,-0.738400656657728,1,355000.0,2026-06-27 01:11:00+08:00,zscore_exit,-2.289010936056991,1.701503299471468,1.4950135713190789,5170.184301227633,1447.638290937211,3722.546010290422,1633
31,short_tsm_long_qff,1,2026-06-29 23:39:00+08:00,2026-06-29 23:39:00+08:00,-1.2322456562762163,0.8924492149628166,-1.2322456562762163,1,336000.0,2026-07-01 21:35:00+08:00,zscore_exit,-2.0704448658563126,1.3158415142814635,1.4744161261168092,2821.4685250260222,1451.8183506130501,1369.650174412972,2756
32,long_tsm_short_qff,1,2026-07-01 23:57:00+08:00,2026-07-01 23:57:00+08:00,-1.9926279044292183,0.7323623323127006,-1.9926279044292183,-1,337000.0,2026-07-02 21:31:00+08:00,zscore_exit,-0.5732732450236487,0.546822478782599,0.7466556575292561,4774.66563694197,1465.7206289607043,3308.9450079812655,1294
33,long_tsm_short_qff,1,2026-07-02 22:29:00+08:00,2026-07-02 22:29:00+08:00,-2.1850589979351778,0.6236008152528884,-2.1850589979351778,-1,332000.0,2026-07-03 01:41:00+08:00,zscore_exit,-1.0291926398731075,0.957714840555373,1.5357818930480258,3650.7243596443477,1462.9773519449966,2187.7470076993513,192
